depart_sec,origin_edge,dest_edge,speed
85,np5_nt5,nt20_np9,11.0
85,np11_nt25,nt1_np1,11.0
86,np20_nt1,nt21_np16,11.0
87,np18_nt11,nt20_np9,11.0
88,np17_nt16,nt24_np12,11.0
88,np19_nt6,nt5_np6,11.0
89,np3_nt3,nt21_np16,11.0
91,np9_nt20,nt11_np18,11.0
92,np5_nt5,nt10_np7,11.0
92,np15_nt21,nt23_np13,11.0
93,np11_nt25,nt23_np13,11.0
93,np2_nt2,nt21_np16,11.0
94,np3_nt3,nt4_np4,11.0
94,np9_nt20,nt1_np1,11.0
94,np20_nt1,nt4_np4,11.0
94,np19_nt6,nt25_np10,11.0
94,np4_nt4,nt3_np3,11.0
95,np20_nt1,nt6_np19,11.0
95,np11_nt25,nt4_np4,11.0
96,np8_nt15,nt23_np13,11.0
96,np1_nt1,nt25_np10,11.0
97,np3_nt3,nt21_np15,11.0
97,np19_nt6,nt25_np10,11.0
97,np6_nt5,nt11_np18,11.0
97,np7_nt10,nt5_np5,11.0
98,np20_nt1,nt24_np12,11.0
99,np8_nt15,nt10_np7,11.0
100,np3_nt3,nt4_np4,11.0
101,np13_nt23,nt1_np20,11.0
102,np2_nt2,nt23_np13,11.0
102,np16_nt21,nt15_np8,11.0
103,np15_nt21,nt1_np1,11.0
103,np7_nt10,nt21_np16,11.0
104,np6_nt5,nt25_np10,11.0
106,np16_nt21,nt21_np15,11.0
107,np7_nt10,nt4_np4,11.0
107,np18_nt11,nt25_np10,11.0
107,np17_nt16,nt10_np7,11.0
108,np11_nt25,nt20_np9,11.0
109,np8_nt15,nt20_np9,11.0
109,np19_nt6,nt22_np14,11.0
110,np15_nt21,nt5_np5,11.0
110,np17_nt16,nt15_np8,11.0
111,np6_nt5,nt1_np1,11.0
111,np15_nt21,nt6_np19,11.0
111,np6_nt5,nt22_np14,11.0
111,np17_nt16,nt22_np14,11.0
112,np12_nt24,nt16_np17,11.0
112,np3_nt3,nt16_np17,11.0
112,np19_nt6,nt3_np3,11.0
114,np19_nt6,nt25_np10,11.0
114,np16_nt21,nt5_np5,11.0
114,np14_nt22,nt23_np13,11.0
115,np16_nt21,nt5_np5,11.0
116,np8_nt15,nt5_np6,11.0
117,np12_nt24,nt25_np11,11.0
117,np4_nt4,nt20_np9,11.0
117,np7_nt10,nt3_np3,11.0
118,np10_nt25,nt4_np4,11.0
118,np16_nt21,nt10_np7,11.0
118,np13_nt23,nt6_np19,11.0
118,np14_nt22,nt20_np9,11.0
119,np2_nt2,nt6_np19,11.0
121,np10_nt25,nt23_np13,11.0
121,np11_nt25,nt2_np2,11.0
122,np15_nt21,nt1_np1,11.0
123,np8_nt15,nt21_np15,11.0
123,np6_nt5,nt10_np7,11.0
124,np19_nt6,nt25_np11,11.0
124,np1_nt1,nt4_np4,11.0
125,np6_nt5,nt16_np17,11.0
125,np2_nt2,nt11_np18,11.0
126,np1_nt1,nt25_np11,11.0
126,np10_nt25,nt15_np8,11.0
127,np11_nt25,nt3_np3,11.0
127,np4_nt4,nt15_np8,11.0
129,np15_nt21,nt11_np18,11.0
129,np14_nt22,nt5_np5,11.0
129,np2_nt2,nt16_np17,11.0
130,np12_nt24,nt21_np15,11.0
131,np8_nt15,nt23_np13,11.0
131,np7_nt10,nt20_np9,11.0
131,np17_nt16,nt4_np4,11.0
133,np2_nt2,nt1_np1,11.0
134,np5_nt5,nt25_np11,11.0
134,np4_nt4,nt23_np13,11.0
134,np17_nt16,nt22_np14,11.0
134,np12_nt24,nt11_np18,11.0
135,np3_nt3,nt15_np8,11.0
135,np15_nt21,nt10_np7,11.0
135,np1_nt1,nt21_np16,11.0
136,np17_nt16,nt5_np5,11.0
136,np5_nt5,nt2_np2,11.0
137,np18_nt11,nt22_np14,11.0
137,np9_nt20,nt24_np12,11.0
138,np10_nt25,nt20_np9,11.0
139,np16_nt21,nt23_np13,11.0
139,np18_nt11,nt15_np8,11.0
139,np4_nt4,nt5_np5,11.0
139,np11_nt25,nt5_np5,11.0
139,np15_nt21,nt22_np14,11.0
140,np3_nt3,nt6_np19,11.0
141,np7_nt10,nt5_np5,11.0
141,np13_nt23,nt15_np8,11.0
141,np14_nt22,nt20_np9,11.0
142,np3_nt3,nt5_np5,11.0
143,np5_nt5,nt6_np19,11.0
144,np10_nt25,nt10_np7,11.0
144,np13_nt23,nt5_np5,11.0
146,np20_nt1,nt2_np2,11.0
146,np13_nt23,nt20_np9,11.0
147,np13_nt23,nt6_np19,11.0
148,np16_nt21,nt23_np13,11.0
148,np15_nt21,nt24_np12,11.0
149,np2_nt2,nt6_np19,11.0
149,np3_nt3,nt1_np20,11.0
150,np6_nt5,nt1_np20,11.0
151,np6_nt5,nt2_np2,11.0
151,np18_nt11,nt20_np9,11.0
152,np6_nt5,nt25_np10,11.0
152,np11_nt25,nt21_np15,11.0
153,np14_nt22,nt10_np7,11.0
153,np1_nt1,nt23_np13,11.0
153,np5_nt5,nt1_np20,11.0
153,np16_nt21,nt16_np17,11.0
154,np6_nt5,nt21_np15,11.0
155,np16_nt21,nt16_np17,11.0
155,np20_nt1,nt5_np5,11.0
155,np19_nt6,nt25_np10,11.0
155,np9_nt20,nt11_np18,11.0
155,np17_nt16,nt25_np10,11.0
155,np10_nt25,nt5_np5,11.0
156,np19_nt6,nt10_np7,11.0
156,np6_nt5,nt15_np8,11.0
158,np5_nt5,nt23_np13,11.0
158,np19_nt6,nt25_np11,11.0
159,np7_nt10,nt1_np1,11.0
159,np2_nt2,nt20_np9,11.0
160,np4_nt4,nt3_np3,11.0
160,np11_nt25,nt15_np8,11.0
160,np10_nt25,nt6_np19,11.0
160,np14_nt22,nt4_np4,11.0
161,np16_nt21,nt25_np10,11.0
162,np19_nt6,nt21_np15,11.0
162,np16_nt21,nt2_np2,11.0
162,np20_nt1,nt6_np19,11.0
163,np9_nt20,nt25_np10,11.0
163,np15_nt21,nt3_np3,11.0
163,np10_nt25,nt20_np9,11.0
163,np19_nt6,nt25_np10,11.0
163,np17_nt16,nt20_np9,11.0
164,np7_nt10,nt1_np1,11.0
164,np19_nt6,nt25_np10,11.0
164,np16_nt21,nt21_np15,11.0
164,np10_nt25,nt21_np16,11.0
167,np18_nt11,nt6_np19,11.0
167,np11_nt25,nt11_np18,11.0
167,np1_nt1,nt22_np14,11.0
167,np5_nt5,nt10_np7,11.0
167,np8_nt15,nt2_np2,11.0
168,np12_nt24,nt25_np11,11.0
168,np16_nt21,nt1_np20,11.0
168,np11_nt25,nt25_np10,11.0
169,np13_nt23,nt24_np12,11.0
170,np17_nt16,nt25_np10,11.0
170,np13_nt23,nt25_np11,11.0
170,np9_nt20,nt21_np15,11.0
170,np11_nt25,nt21_np16,11.0
170,np18_nt11,nt6_np19,11.0
171,np10_nt25,nt16_np17,11.0
172,np10_nt25,nt1_np20,11.0
172,np19_nt6,nt4_np4,11.0
172,np12_nt24,nt1_np1,11.0
173,np4_nt4,nt16_np17,11.0
173,np7_nt10,nt25_np11,11.0
174,np15_nt21,nt10_np7,11.0
174,np2_nt2,nt24_np12,11.0
175,np8_nt15,nt25_np11,11.0
176,np4_nt4,nt20_np9,11.0
176,np8_nt15,nt21_np16,11.0
176,np1_nt1,nt10_np7,11.0
177,np16_nt21,nt3_np3,11.0
177,np16_nt21,nt3_np3,11.0
177,np2_nt2,nt4_np4,11.0
177,np7_nt10,nt1_np1,11.0
178,np2_nt2,nt6_np19,11.0
178,np8_nt15,nt5_np6,11.0
179,np12_nt24,nt15_np8,11.0
179,np17_nt16,nt5_np6,11.0
180,np20_nt1,nt16_np17,11.0
180,np11_nt25,nt6_np19,11.0
180,np16_nt21,nt24_np12,11.0
182,np14_nt22,nt20_np9,11.0
182,np13_nt23,nt10_np7,11.0
182,np2_nt2,nt10_np7,11.0
183,np3_nt3,nt23_np13,11.0
185,np20_nt1,nt21_np16,11.0
185,np6_nt5,nt22_np14,11.0
186,np13_nt23,nt4_np4,11.0
186,np13_nt23,nt15_np8,11.0
187,np9_nt20,nt2_np2,11.0
187,np12_nt24,nt15_np8,11.0
188,np17_nt16,nt15_np8,11.0
188,np20_nt1,nt10_np7,11.0
188,np12_nt24,nt11_np18,11.0
189,np5_nt5,nt2_np2,11.0
190,np14_nt22,nt25_np10,11.0
190,np16_nt21,nt15_np8,11.0
192,np6_nt5,nt16_np17,11.0
192,np1_nt1,nt16_np17,11.0
192,np7_nt10,nt20_np9,11.0
192,np7_nt10,nt25_np10,11.0
193,np7_nt10,nt21_np16,11.0
193,np9_nt20,nt5_np5,11.0
193,np12_nt24,nt1_np1,11.0
195,np5_nt5,nt20_np9,11.0
195,np9_nt20,nt1_np20,11.0
195,np5_nt5,nt1_np1,11.0
196,np16_nt21,nt1_np1,11.0
197,np13_nt23,nt6_np19,11.0
197,np6_nt5,nt16_np17,11.0
197,np6_nt5,nt21_np15,11.0
198,np17_nt16,nt6_np19,11.0
198,np12_nt24,nt25_np11,11.0
199,np5_nt5,nt25_np11,11.0
199,np17_nt16,nt5_np6,11.0
201,np19_nt6,nt22_np14,11.0
202,np8_nt15,nt6_np19,11.0
202,np10_nt25,nt5_np5,11.0
203,np11_nt25,nt22_np14,11.0
203,np6_nt5,nt24_np12,11.0
204,np9_nt20,nt24_np12,11.0
204,np20_nt1,nt20_np9,11.0
206,np5_nt5,nt11_np18,11.0
206,np9_nt20,nt15_np8,11.0
206,np15_nt21,nt4_np4,11.0
207,np3_nt3,nt21_np16,11.0
207,np18_nt11,nt25_np11,11.0
208,np9_nt20,nt5_np5,11.0
209,np1_nt1,nt11_np18,11.0
210,np17_nt16,nt1_np20,11.0
210,np4_nt4,nt20_np9,11.0
210,np6_nt5,nt15_np8,11.0
211,np1_nt1,nt25_np11,11.0
212,np1_nt1,nt25_np10,11.0
212,np13_nt23,nt6_np19,11.0
212,np19_nt6,nt5_np6,11.0
214,np15_nt21,nt5_np5,11.0
216,np15_nt21,nt6_np19,11.0
216,np13_nt23,nt3_np3,11.0
216,np16_nt21,nt20_np9,11.0
216,np19_nt6,nt15_np8,11.0
216,np19_nt6,nt10_np7,11.0
217,np18_nt11,nt25_np11,11.0
218,np17_nt16,nt21_np16,11.0
218,np12_nt24,nt6_np19,11.0
218,np9_nt20,nt1_np1,11.0
219,np5_nt5,nt5_np6,11.0
220,np9_nt20,nt16_np17,11.0
220,np8_nt15,nt2_np2,11.0
220,np14_nt22,nt25_np11,11.0
220,np4_nt4,nt23_np13,11.0
222,np4_nt4,nt11_np18,11.0
222,np7_nt10,nt16_np17,11.0
222,np17_nt16,nt2_np2,11.0
222,np17_nt16,nt25_np11,11.0
224,np9_nt20,nt1_np1,11.0
224,np17_nt16,nt6_np19,11.0
224,np6_nt5,nt15_np8,11.0
225,np3_nt3,nt21_np15,11.0
225,np9_nt20,nt1_np20,11.0
225,np4_nt4,nt1_np20,11.0
226,np19_nt6,nt10_np7,11.0
226,np14_nt22,nt25_np10,11.0
227,np3_nt3,nt21_np15,11.0
227,np2_nt2,nt21_np15,11.0
227,np4_nt4,nt21_np16,11.0
227,np8_nt15,nt20_np9,11.0
227,np19_nt6,nt21_np15,11.0
227,np13_nt23,nt21_np15,11.0
227,np14_nt22,nt20_np9,11.0
228,np4_nt4,nt3_np3,11.0
228,np20_nt1,nt23_np13,11.0
228,np16_nt21,nt25_np11,11.0
228,np10_nt25,nt22_np14,11.0
230,np19_nt6,nt21_np16,11.0
230,np16_nt21,nt11_np18,11.0
231,np18_nt11,nt15_np8,11.0
231,np13_nt23,nt20_np9,11.0
232,np9_nt20,nt25_np11,11.0
232,np6_nt5,nt15_np8,11.0
232,np15_nt21,nt5_np6,11.0
232,np18_nt11,nt21_np15,11.0
232,np8_nt15,nt25_np10,11.0
233,np19_nt6,nt2_np2,11.0
234,np18_nt11,nt2_np2,11.0
234,np3_nt3,nt15_np8,11.0
235,np1_nt1,nt2_np2,11.0
237,np6_nt5,nt1_np1,11.0
238,np13_nt23,nt10_np7,11.0
238,np7_nt10,nt24_np12,11.0
238,np9_nt20,nt24_np12,11.0
239,np3_nt3,nt25_np11,11.0
241,np1_nt1,nt4_np4,11.0
242,np20_nt1,nt23_np13,11.0
242,np13_nt23,nt21_np15,11.0
242,np1_nt1,nt11_np18,11.0
242,np7_nt10,nt21_np16,11.0
242,np4_nt4,nt11_np18,11.0
242,np1_nt1,nt22_np14,11.0
243,np12_nt24,nt10_np7,11.0
243,np6_nt5,nt21_np16,11.0
243,np1_nt1,nt3_np3,11.0
244,np13_nt23,nt22_np14,11.0
246,np11_nt25,nt22_np14,11.0
246,np6_nt5,nt16_np17,11.0
247,np15_nt21,nt22_np14,11.0
247,np17_nt16,nt23_np13,11.0
248,np4_nt4,nt15_np8,11.0
248,np5_nt5,nt24_np12,11.0
249,np13_nt23,nt21_np16,11.0
249,np3_nt3,nt6_np19,11.0
249,np16_nt21,nt5_np6,11.0
249,np15_nt21,nt20_np9,11.0
250,np1_nt1,nt2_np2,11.0
250,np4_nt4,nt25_np11,11.0
251,np19_nt6,nt24_np12,11.0
251,np14_nt22,nt20_np9,11.0
252,np14_nt22,nt5_np6,11.0
252,np16_nt21,nt16_np17,11.0
252,np4_nt4,nt10_np7,11.0
252,np17_nt16,nt10_np7,11.0
253,np1_nt1,nt5_np5,11.0
253,np3_nt3,nt25_np10,11.0
254,np11_nt25,nt23_np13,11.0
254,np5_nt5,nt20_np9,11.0
255,np15_nt21,nt3_np3,11.0
256,np9_nt20,nt25_np10,11.0
256,np20_nt1,nt25_np10,11.0
256,np14_nt22,nt6_np19,11.0
257,np19_nt6,nt16_np17,11.0
258,np1_nt1,nt1_np20,11.0
258,np13_nt23,nt20_np9,11.0
258,np4_nt4,nt20_np9,11.0
259,np20_nt1,nt16_np17,11.0
259,np18_nt11,nt10_np7,11.0
259,np18_nt11,nt24_np12,11.0
259,np15_nt21,nt6_np19,11.0
259,np11_nt25,nt10_np7,11.0
259,np4_nt4,nt1_np1,11.0
260,np16_nt21,nt11_np18,11.0
260,np6_nt5,nt2_np2,11.0
260,np9_nt20,nt21_np16,11.0
261,np8_nt15,nt16_np17,11.0
262,np7_nt10,nt1_np1,11.0
262,np13_nt23,nt5_np6,11.0
263,np7_nt10,nt11_np18,11.0
264,np7_nt10,nt5_np5,11.0
264,np17_nt16,nt23_np13,11.0
265,np19_nt6,nt5_np5,11.0
265,np5_nt5,nt23_np13,11.0
265,np12_nt24,nt1_np1,11.0
266,np11_nt25,nt15_np8,11.0
266,np12_nt24,nt11_np18,11.0
267,np2_nt2,nt1_np20,11.0
267,np7_nt10,nt4_np4,11.0
268,np8_nt15,nt6_np19,11.0
268,np20_nt1,nt11_np18,11.0
269,np7_nt10,nt16_np17,11.0
271,np16_nt21,nt1_np1,11.0
271,np17_nt16,nt25_np11,11.0
271,np9_nt20,nt3_np3,11.0
272,np8_nt15,nt1_np20,11.0
273,np2_nt2,nt3_np3,11.0
273,np14_nt22,nt25_np11,11.0
273,np4_nt4,nt5_np5,11.0
274,np1_nt1,nt1_np20,11.0
274,np9_nt20,nt5_np5,11.0
274,np19_nt6,nt25_np11,11.0
274,np6_nt5,nt1_np1,11.0
274,np4_nt4,nt25_np11,11.0
275,np2_nt2,nt10_np7,11.0
275,np17_nt16,nt10_np7,11.0
275,np13_nt23,nt1_np1,11.0
276,np7_nt10,nt2_np2,11.0
277,np19_nt6,nt25_np10,11.0
277,np15_nt21,nt16_np17,11.0
278,np17_nt16,nt22_np14,11.0
278,np7_nt10,nt21_np15,11.0
279,np18_nt11,nt2_np2,11.0
279,np10_nt25,nt2_np2,11.0
280,np10_nt25,nt11_np18,11.0
281,np7_nt10,nt5_np5,11.0
282,np7_nt10,nt21_np15,11.0
282,np17_nt16,nt5_np5,11.0
283,np2_nt2,nt22_np14,11.0
283,np14_nt22,nt16_np17,11.0
284,np15_nt21,nt25_np11,11.0
284,np8_nt15,nt22_np14,11.0
285,np8_nt15,nt5_np6,11.0
285,np9_nt20,nt5_np6,11.0
287,np12_nt24,nt25_np10,11.0
287,np8_nt15,nt3_np3,11.0
288,np2_nt2,nt5_np6,11.0
288,np3_nt3,nt23_np13,11.0
291,np16_nt21,nt1_np20,11.0
291,np6_nt5,nt23_np13,11.0
292,np12_nt24,nt1_np20,11.0
292,np6_nt5,nt16_np17,11.0
293,np15_nt21,nt5_np6,11.0
293,np4_nt4,nt6_np19,11.0
294,np10_nt25,nt10_np7,11.0
294,np8_nt15,nt24_np12,11.0
295,np17_nt16,nt22_np14,11.0
295,np15_nt21,nt3_np3,11.0
295,np19_nt6,nt23_np13,11.0
295,np6_nt5,nt2_np2,11.0
296,np6_nt5,nt10_np7,11.0
296,np7_nt10,nt21_np16,11.0
297,np8_nt15,nt1_np20,11.0
297,np2_nt2,nt5_np6,11.0
297,np18_nt11,nt10_np7,11.0
297,np2_nt2,nt1_np20,11.0
298,np20_nt1,nt11_np18,11.0
298,np2_nt2,nt25_np11,11.0
298,np18_nt11,nt1_np1,11.0
298,np7_nt10,nt6_np19,11.0
299,np15_nt21,nt5_np5,11.0
300,np15_nt21,nt16_np17,11.0
300,np10_nt25,nt1_np1,11.0
300,np11_nt25,nt15_np8,11.0
300,np2_nt2,nt16_np17,11.0
300,np17_nt16,nt5_np6,11.0
301,np15_nt21,nt1_np20,11.0
301,np2_nt2,nt3_np3,11.0
301,np11_nt25,nt10_np7,11.0
302,np12_nt24,nt6_np19,11.0
302,np19_nt6,nt21_np15,11.0
302,np17_nt16,nt2_np2,11.0
302,np11_nt25,nt22_np14,11.0
304,np12_nt24,nt11_np18,11.0
304,np11_nt25,nt5_np6,11.0
305,np14_nt22,nt21_np16,11.0
307,np2_nt2,nt5_np5,11.0
307,np12_nt24,nt22_np14,11.0
308,np4_nt4,nt24_np12,11.0
308,np20_nt1,nt21_np15,11.0
309,np20_nt1,nt1_np1,11.0
309,np17_nt16,nt3_np3,11.0
310,np14_nt22,nt23_np13,11.0
311,np12_nt24,nt1_np20,11.0
311,np13_nt23,nt3_np3,11.0
311,np15_nt21,nt5_np5,11.0
311,np13_nt23,nt3_np3,11.0
312,np7_nt10,nt22_np14,11.0
313,np6_nt5,nt15_np8,11.0
313,np11_nt25,nt10_np7,11.0
313,np17_nt16,nt6_np19,11.0
313,np18_nt11,nt6_np19,11.0
314,np6_nt5,nt5_np5,11.0
315,np14_nt22,nt3_np3,11.0
316,np1_nt1,nt5_np5,11.0
319,np6_nt5,nt25_np11,11.0
320,np2_nt2,nt16_np17,11.0
320,np7_nt10,nt1_np1,11.0
321,np2_nt2,nt22_np14,11.0
322,np2_nt2,nt10_np7,11.0
322,np16_nt21,nt5_np5,11.0
322,np19_nt6,nt1_np1,11.0
322,np9_nt20,nt6_np19,11.0
322,np4_nt4,nt21_np16,11.0
322,np19_nt6,nt21_np16,11.0
323,np5_nt5,nt25_np11,11.0
323,np9_nt20,nt21_np16,11.0
323,np11_nt25,nt5_np6,11.0
324,np7_nt10,nt22_np14,11.0
325,np16_nt21,nt10_np7,11.0
325,np11_nt25,nt2_np2,11.0
326,np17_nt16,nt11_np18,11.0
326,np12_nt24,nt22_np14,11.0
327,np4_nt4,nt22_np14,11.0
328,np14_nt22,nt21_np16,11.0
328,np10_nt25,nt25_np11,11.0
328,np20_nt1,nt10_np7,11.0
328,np8_nt15,nt25_np11,11.0
328,np18_nt11,nt25_np10,11.0
329,np1_nt1,nt23_np13,11.0
330,np14_nt22,nt10_np7,11.0
330,np11_nt25,nt16_np17,11.0
330,np15_nt21,nt24_np12,11.0
331,np6_nt5,nt15_np8,11.0
331,np5_nt5,nt21_np15,11.0
331,np15_nt21,nt3_np3,11.0
332,np8_nt15,nt20_np9,11.0
332,np4_nt4,nt5_np5,11.0
332,np2_nt2,nt1_np1,11.0
333,np10_nt25,nt10_np7,11.0
333,np19_nt6,nt1_np20,11.0
333,np12_nt24,nt21_np16,11.0
333,np5_nt5,nt5_np6,11.0
333,np14_nt22,nt25_np11,11.0
335,np17_nt16,nt1_np20,11.0
335,np18_nt11,nt6_np19,11.0
335,np8_nt15,nt11_np18,11.0
336,np4_nt4,nt23_np13,11.0
336,np19_nt6,nt24_np12,11.0
337,np12_nt24,nt2_np2,11.0
337,np14_nt22,nt2_np2,11.0
337,np13_nt23,nt5_np5,11.0
338,np7_nt10,nt20_np9,11.0
338,np11_nt25,nt4_np4,11.0
339,np4_nt4,nt1_np20,11.0
339,np12_nt24,nt1_np20,11.0
339,np6_nt5,nt2_np2,11.0
339,np4_nt4,nt3_np3,11.0
340,np4_nt4,nt6_np19,11.0
340,np12_nt24,nt10_np7,11.0
